,entity_pair,conflict_id,entity_relationship
0,"(4689264, 389363)",43063,enemies
1,"(4689264, 737)",43063,enemies
2,"(4689264, 4512092)",43063,enemies
3,"(3434750, 389363)",43063,enemies
4,"(3434750, 737)",43063,enemies
5,"(3434750, 4512092)",43063,enemies
6,"(5042916, 389363)",43063,enemies
7,"(5042916, 737)",43063,enemies
8,"(5042916, 4512092)",43063,enemies
9,"(76972, 389363)",43063,enemies
10,"(76972, 737)",43063,enemies
11,"(76972, 4512092)",43063,enemies
12,"(11867, 389363)",43063,enemies
13,"(11867, 737)",43063,enemies
14,"(11867, 4512092)",43063,enemies
15,"(21241, 389363)",43063,enemies
16,"(21241, 737)",43063,enemies
17,"(21241, 4512092)",43063,enemies
18,"(21148, 389363)",43063,enemies
19,"(21148, 737)",43063,enemies
20,"(21148, 4512092)",43063,enemies
21,"(4913064, 389363)",43063,enemies
22,"(4913064, 737)",43063,enemies
23,"(4913064, 4512092)",43063,enemies
24,"(737, 389363)",43063,enemies
25,"(737, 737)",43063,enemies
26,"(737, 4512092)",43063,enemies
27,"(11125639, 389363)",43063,enemies
28,"(11125639, 737)",43063,enemies
29,"(11125639, 4512092)",43063,enemies
30,"(291717, 389363)",43063,enemies
31,"(291717, 737)",43063,enemies
32,"(291717, 4512092)",43063,enemies
33,"(31717, 389363)",43063,enemies
34,"(31717, 737)",43063,enemies
35,"(31717, 4512092)",43063,enemies
36,"(5843419, 389363)",43063,enemies
37,"(5843419, 737)",43063,enemies
38,"(5843419, 4512092)",43063,enemies
39,"(4689264, 3434750)",43063,allies
40,"(4689264, 5042916)",43063,allies
41,"(4689264, 76972)",43063,allies
42,"(4689264, 11867)",43063,allies
43,"(4689264, 21241)",43063,allies
44,"(4689264, 21148)",43063,allies
45,"(4689264, 4913064)",43063,allies
46,"(4689264, 737)",43063,allies
47,"(4689264, 11125639)",43063,allies
48,"(4689264, 291717)",43063,allies
49,"(4689264, 31717)",43063,allies
50,"(4689264, 5843419)",43063,allies
51,"(3434750, 5042916)",43063,allies
52,"(3434750, 76972)",43063,allies
53,"(3434750, 11867)",43063,allies
54,"(3434750, 21241)",43063,allies
55,"(3434750, 21148)",43063,allies
56,"(3434750, 4913064)",43063,allies
57,"(3434750, 737)",43063,allies
58,"(3434750, 11125639)",43063,allies
59,"(3434750, 291717)",43063,allies
60,"(3434750, 31717)",43063,allies
61,"(3434750, 5843419)",43063,allies
62,"(5042916, 76972)",43063,allies
63,"(5042916, 11867)",43063,allies
64,"(5042916, 21241)",43063,allies
65,"(5042916, 21148)",43063,allies
66,"(5042916, 4913064)",43063,allies
67,"(5042916, 737)",43063,allies
68,"(5042916, 11125639)",43063,allies
69,"(5042916, 291717)",43063,allies
70,"(5042916, 31717)",43063,allies
71,"(5042916, 5843419)",43063,allies
72,"(76972, 11867)",43063,allies
73,"(76972, 21241)",43063,allies
74,"(76972, 21148)",43063,allies
75,"(76972, 4913064)",43063,allies
76,"(76972, 737)",43063,allies
77,"(76972, 11125639)",43063,allies
78,"(76972, 291717)",43063,allies
79,"(76972, 31717)",43063,allies
80,"(76972, 5843419)",43063,allies
81,"(11867, 21241)",43063,allies
82,"(11867, 21148)",43063,allies
83,"(11867, 4913064)",43063,allies
84,"(11867, 737)",43063,allies
85,"(11867, 11125639)",43063,allies
86,"(11867, 291717)",43063,allies
87,"(11867, 31717)",43063,allies
88,"(11867, 5843419)",43063,allies
89,"(21241, 21148)",43063,allies
90,"(21241, 4913064)",43063,allies
91,"(21241, 737)",43063,allies
92,"(21241, 11125639)",43063,allies
93,"(21241, 291717)",43063,allies
94,"(21241, 31717)",43063,allies
95,"(21241, 5843419)",43063,allies
96,"(21148, 4913064)",43063,allies
97,"(21148, 737)",43063,allies
98,"(21148, 11125639)",43063,allies
99,"(21148, 291717)",43063,allies
100,"(21148, 31717)",43063,allies
101,"(21148, 5843419)",43063,allies
102,"(4913064, 737)",43063,allies
103,"(4913064, 11125639)",43063,allies
104,"(4913064, 291717)",43063,allies
105,"(4913064, 31717)",43063,allies
106,"(4913064, 5843419)",43063,allies
107,"(737, 11125639)",43063,allies
108,"(737, 291717)",43063,allies
109,"(737, 31717)",43063,allies
110,"(737, 5843419)",43063,allies
111,"(11125639, 291717)",43063,allies
112,"(11125639, 31717)",43063,allies
113,"(11125639, 5843419)",43063,allies
114,"(291717, 31717)",43063,allies
115,"(291717, 5843419)",43063,allies
116,"(31717, 5843419)",43063,allies
117,"(389363, 737)",43063,allies
118,"(389363, 4512092)",43063,allies
119,"(737, 4512092)",43063,allies
120,"(9282173, 13093253)",46216,enemies
121,"(9282173, 12047)",46216,enemies
122,"(9282173, 24093)",46216,enemies
123,"(9282173, 53185055)",46216,enemies
124,"(9282173, 24324)",46216,enemies
125,"(9282173, 13913)",46216,enemies
126,"(13093253, 12047)",46216,allies
127,"(13093253, 24093)",46216,allies
128,"(13093253, 53185055)",46216,allies
129,"(13093253, 24324)",46216,allies
130,"(13093253, 13913)",46216,allies
131,"(12047, 24093)",46216,allies
132,"(12047, 53185055)",46216,allies
133,"(12047, 24324)",46216,allies
134,"(12047, 13913)",46216,allies
135,"(24093, 53185055)",46216,allies
136,"(24093, 24324)",46216,allies
137,"(24093, 13913)",46216,allies
138,"(53185055, 24324)",46216,allies
139,"(53185055, 13913)",46216,allies
140,"(24324, 13913)",46216,allies
141,"(4689264, 17633)",201936,enemies
142,"(4689264, 26215470)",201936,enemies
143,"(4689264, 199866)",201936,enemies
144,"(4689264, 285632)",201936,enemies
145,"(4689264, 2185)",201936,enemies
146,"(4689264, 7515849)",201936,enemies
147,"(679693, 17633)",201936,enemies
148,"(679693, 26215470)",201936,enemies
149,"(679693, 199866)",201936,enemies
150,"(679693, 285632)",201936,enemies
151,"(679693, 2185)",201936,enemies
152,"(679693, 7515849)",201936,enemies
153,"(3434750, 17633)",201936,enemies
154,"(3434750, 26215470)",201936,enemies
155,"(3434750, 199866)",201936,enemies
156,"(3434750, 285632)",201936,enemies
157,"(3434750, 2185)",201936,enemies
158,"(3434750, 7515849)",201936,enemies
159,"(21148, 17633)",201936,enemies
160,"(21148, 26215470)",201936,enemies
161,"(21148, 199866)",201936,enemies
162,"(21148, 285632)",201936,enemies
163,"(21148, 2185)",201936,enemies
164,"(21148, 7515849)",201936,enemies
165,"(7515928, 17633)",201936,enemies
166,"(7515928, 26215470)",201936,enemies
167,"(7515928, 199866)",201936,enemies
168,"(7515928, 285632)",201936,enemies
169,"(7515928, 2185)",201936,enemies
170,"(7515928, 7515849)",201936,enemies
171,"(22936, 17633)",201936,enemies
172,"(22936, 26215470)",201936,enemies
173,"(22936, 199866)",201936,enemies
174,"(22936, 285632)",201936,enemies
175,"(22936, 2185)",201936,enemies
176,"(22936, 7515849)",201936,enemies
177,"(70767, 17633)",201936,enemies
178,"(70767, 26215470)",201936,enemies
179,"(70767, 199866)",201936,enemies
180,"(70767, 285632)",201936,enemies
181,"(70767, 2185)",201936,enemies
182,"(70767, 7515849)",201936,enemies
183,"(70789, 17633)",201936,enemies
184,"(70789, 26215470)",201936,enemies
185,"(70789, 199866)",201936,enemies
186,"(70789, 285632)",201936,enemies
187,"(70789, 2185)",201936,enemies
188,"(70789, 7515849)",201936,enemies
189,"(25659771, 17633)",201936,enemies
190,"(25659771, 26215470)",201936,enemies
191,"(25659771, 199866)",201936,enemies
192,"(25659771, 285632)",201936,enemies
193,"(25659771, 2185)",201936,enemies
194,"(25659771, 7515849)",201936,enemies
195,"(31717, 17633)",201936,enemies
196,"(31717, 26215470)",201936,enemies
197,"(31717, 199866)",201936,enemies
198,"(31717, 285632)",201936,enemies
199,"(31717, 2185)",201936,enemies
200,"(31717, 7515849)",201936,enemies
201,"(899044, 17633)",201936,enemies
202,"(899044, 26215470)",201936,enemies
203,"(899044, 199866)",201936,enemies
204,"(899044, 285632)",201936,enemies
205,"(899044, 2185)",201936,enemies
206,"(899044, 7515849)",201936,enemies
207,"(4689264, 679693)",201936,allies
208,"(4689264, 3434750)",201936,allies
209,"(4689264, 21148)",201936,allies
210,"(4689264, 7515928)",201936,allies
211,"(4689264, 22936)",201936,allies
212,"(4689264, 70767)",201936,allies
213,"(4689264, 70789)",201936,allies
214,"(4689264, 25659771)",201936,allies
215,"(4689264, 31717)",201936,allies
216,"(4689264, 899044)",201936,allies
217,"(679693, 3434750)",201936,allies
218,"(679693, 21148)",201936,allies
219,"(679693, 7515928)",201936,allies
220,"(679693, 22936)",201936,allies
221,"(679693, 70767)",201936,allies
222,"(679693, 70789)",201936,allies
223,"(679693, 25659771)",201936,allies
224,"(679693, 31717)",201936,allies
225,"(679693, 899044)",201936,allies
226,"(3434750, 21148)",201936,allies
227,"(3434750, 7515928)",201936,allies
228,"(3434750, 22936)",201936,allies
229,"(3434750, 70767)",201936,allies
230,"(3434750, 70789)",201936,allies
231,"(3434750, 25659771)",201936,allies
232,"(3434750, 31717)",201936,allies
233,"(3434750, 899044)",201936,allies
234,"(21148, 7515928)",201936,allies
235,"(21148, 22936)",201936,allies
236,"(21148, 70767)",201936,allies
237,"(21148, 70789)",201936,allies
238,"(21148, 25659771)",201936,allies
239,"(21148, 31717)",201936,allies
240,"(21148, 899044)",201936,allies
241,"(7515928, 22936)",201936,allies
242,"(7515928, 70767)",201936,allies
243,"(7515928, 70789)",201936,allies
244,"(7515928, 25659771)",201936,allies
245,"(7515928, 31717)",201936,allies
246,"(7515928, 899044)",201936,allies
247,"(22936, 70767)",201936,allies
248,"(22936, 70789)",201936,allies
249,"(22936, 25659771)",201936,allies
250,"(22936, 31717)",201936,allies
251,"(22936, 899044)",201936,allies
252,"(70767, 70789)",201936,allies
253,"(70767, 25659771)",201936,allies
254,"(70767, 31717)",201936,allies
255,"(70767, 899044)",201936,allies
256,"(70789, 25659771)",201936,allies
257,"(70789, 31717)",201936,allies
258,"(70789, 899044)",201936,allies
259,"(25659771, 31717)",201936,allies
260,"(25659771, 899044)",201936,allies
261,"(31717, 899044)",201936,allies
262,"(17633, 26215470)",201936,allies
263,"(17633, 199866)",201936,allies
264,"(17633, 285632)",201936,allies
265,"(17633, 2185)",201936,allies
266,"(17633, 7515849)",201936,allies
267,"(26215470, 199866)",201936,allies
268,"(26215470, 285632)",201936,allies
269,"(26215470, 2185)",201936,allies
270,"(26215470, 7515849)",201936,allies
271,"(199866, 285632)",201936,allies
272,"(199866, 2185)",201936,allies
273,"(199866, 7515849)",201936,allies
274,"(285632, 2185)",201936,allies
275,"(285632, 7515849)",201936,allies
276,"(2185, 7515849)",201936,allies
277,"(26215470, 3434750)",207031,enemies
278,"(26215470, 31717)",207031,enemies
279,"(3434750, 31717)",207031,allies
280,"(9282173, 6111879)",312905,enemies
281,"(9282173, 290310)",312905,enemies
282,"(9282173, 14653)",312905,enemies
283,"(9282173, 1285472)",312905,enemies
284,"(9282173, 15462262)",312905,enemies
285,"(9282173, 24324)",312905,enemies
286,"(9282173, 17771)",312905,enemies
287,"(9282173, 1266812)",312905,enemies
288,"(9282173, 13919)",312905,enemies
289,"(9282173, 24324)",312905,enemies
290,"(2906001, 6111879)",312905,enemies
291,"(2906001, 290310)",312905,enemies
292,"(2906001, 14653)",312905,enemies
293,"(2906001, 1285472)",312905,enemies
294,"(2906001, 15462262)",312905,enemies
295,"(2906001, 24324)",312905,enemies
296,"(2906001, 17771)",312905,enemies
297,"(2906001, 1266812)",312905,enemies
298,"(2906001, 13919)",312905,enemies
299,"(2906001, 24324)",312905,enemies
300,"(30488708, 6111879)",312905,enemies
301,"(30488708, 290310)",312905,enemies
302,"(30488708, 14653)",312905,enemies
303,"(30488708, 1285472)",312905,enemies
304,"(30488708, 15462262)",312905,enemies
305,"(30488708, 24324)",312905,enemies
306,"(30488708, 17771)",312905,enemies
307,"(30488708, 1266812)",312905,enemies
308,"(30488708, 13919)",312905,enemies
309,"(30488708, 24324)",312905,enemies
310,"(1224174, 6111879)",312905,enemies
311,"(1224174, 290310)",312905,enemies
312,"(1224174, 14653)",312905,enemies
313,"(1224174, 1285472)",312905,enemies
314,"(1224174, 15462262)",312905,enemies
315,"(1224174, 24324)",312905,enemies
316,"(1224174, 17771)",312905,enemies
317,"(1224174, 1266812)",312905,enemies
318,"(1224174, 13919)",312905,enemies
319,"(1224174, 24324)",312905,enemies
320,"(3462886, 6111879)",312905,enemies
321,"(3462886, 290310)",312905,enemies
322,"(3462886, 14653)",312905,enemies
323,"(3462886, 1285472)",312905,enemies
324,"(3462886, 15462262)",312905,enemies
325,"(3462886, 24324)",312905,enemies
326,"(3462886, 17771)",312905,enemies
327,"(3462886, 1266812)",312905,enemies
328,"(3462886, 13919)",312905,enemies
329,"(3462886, 24324)",312905,enemies
330,"(9282173, 1517643)",312905,enemies
331,"(9282173, 1780228)",312905,enemies
332,"(9282173, 39039263)",312905,enemies
333,"(9282173, 7515849)",312905,enemies
334,"(2906001, 1517643)",312905,enemies
335,"(2906001, 1780228)",312905,enemies
336,"(2906001, 39039263)",312905,enemies
337,"(2906001, 7515849)",312905,enemies
338,"(30488708, 1517643)",312905,enemies
339,"(30488708, 1780228)",312905,enemies
340,"(30488708, 39039263)",312905,enemies
341,"(30488708, 7515849)",312905,enemies
342,"(1224174, 1517643)",312905,enemies
343,"(1224174, 1780228)",312905,enemies
344,"(1224174, 39039263)",312905,enemies
345,"(1224174, 7515849)",312905,enemies
346,"(3462886, 1517643)",312905,enemies
347,"(3462886, 1780228)",312905,enemies
348,"(3462886, 39039263)",312905,enemies
349,"(3462886, 7515849)",312905,enemies
350,"(9282173, 3434750)",312905,enemies
351,"(9282173, 3279967)",312905,enemies
352,"(9282173, 17779)",312905,enemies
353,"(9282173, 787766)",312905,enemies
354,"(9282173, 31769)",312905,enemies
355,"(9282173, 14532)",312905,enemies
356,"(9282173, 17771)",312905,enemies
357,"(9282173, 5843419)",312905,enemies
358,"(9282173, 684077)",312905,enemies
359,"(2906001, 3434750)",312905,enemies
360,"(2906001, 3279967)",312905,enemies
361,"(2906001, 17779)",312905,enemies
362,"(2906001, 787766)",312905,enemies
363,"(2906001, 31769)",312905,enemies
364,"(2906001, 14532)",312905,enemies
365,"(2906001, 17771)",312905,enemies
366,"(2906001, 5843419)",312905,enemies
367,"(2906001, 684077)",312905,enemies
368,"(30488708, 3434750)",312905,enemies
369,"(30488708, 3279967)",312905,enemies
370,"(30488708, 17779)",312905,enemies
371,"(30488708, 787766)",312905,enemies
372,"(30488708, 31769)",312905,enemies
373,"(30488708, 14532)",312905,enemies
374,"(30488708, 17771)",312905,enemies
375,"(30488708, 5843419)",312905,enemies
376,"(30488708, 684077)",312905,enemies
377,"(1224174, 3434750)",312905,enemies
378,"(1224174, 3279967)",312905,enemies
379,"(1224174, 17779)",312905,enemies
380,"(1224174, 787766)",312905,enemies
381,"(1224174, 31769)",312905,enemies
382,"(1224174, 14532)",312905,enemies
383,"(1224174, 17771)",312905,enemies
384,"(1224174, 5843419)",312905,enemies
385,"(1224174, 684077)",312905,enemies
386,"(3462886, 3434750)",312905,enemies
387,"(3462886, 3279967)",312905,enemies
388,"(3462886, 17779)",312905,enemies
389,"(3462886, 787766)",312905,enemies
390,"(3462886, 31769)",312905,enemies
391,"(3462886, 14532)",312905,enemies
392,"(3462886, 17771)",312905,enemies
393,"(3462886, 5843419)",312905,enemies
394,"(3462886, 684077)",312905,enemies
395,"(6111879, 1517643)",312905,enemies
396,"(6111879, 1780228)",312905,enemies
397,"(6111879, 39039263)",312905,enemies
398,"(6111879, 7515849)",312905,enemies
399,"(290310, 1517643)",312905,enemies
400,"(290310, 1780228)",312905,enemies
401,"(290310, 39039263)",312905,enemies
402,"(290310, 7515849)",312905,enemies
403,"(14653, 1517643)",312905,enemies
404,"(14653, 1780228)",312905,enemies
405,"(14653, 39039263)",312905,enemies
406,"(14653, 7515849)",312905,enemies
407,"(1285472, 1517643)",312905,enemies
408,"(1285472, 1780228)",312905,enemies
409,"(1285472, 39039263)",312905,enemies
410,"(1285472, 7515849)",312905,enemies
411,"(15462262, 1517643)",312905,enemies
412,"(15462262, 1780228)",312905,enemies
413,"(15462262, 39039263)",312905,enemies
414,"(15462262, 7515849)",312905,enemies
415,"(24324, 1517643)",312905,enemies
416,"(24324, 1780228)",312905,enemies
417,"(24324, 39039263)",312905,enemies
418,"(24324, 7515849)",312905,enemies
419,"(17771, 1517643)",312905,enemies
420,"(17771, 1780228)",312905,enemies
421,"(17771, 39039263)",312905,enemies
422,"(17771, 7515849)",312905,enemies
423,"(1266812, 1517643)",312905,enemies
424,"(1266812, 1780228)",312905,enemies
425,"(1266812, 39039263)",312905,enemies
426,"(1266812, 7515849)",312905,enemies
427,"(13919, 1517643)",312905,enemies
428,"(13919, 1780228)",312905,enemies
429,"(13919, 39039263)",312905,enemies
430,"(13919, 7515849)",312905,enemies
431,"(24324, 1517643)",312905,enemies
432,"(24324, 1780228)",312905,enemies
433,"(24324, 39039263)",312905,enemies
434,"(24324, 7515849)",312905,enemies
435,"(6111879, 3434750)",312905,enemies
436,"(6111879, 3279967)",312905,enemies
437,"(6111879, 17779)",312905,enemies
438,"(6111879, 787766)",312905,enemies
439,"(6111879, 31769)",312905,enemies
440,"(6111879, 14532)",312905,enemies
441,"(6111879, 17771)",312905,enemies
442,"(6111879, 5843419)",312905,enemies
443,"(6111879, 684077)",312905,enemies
444,"(290310, 3434750)",312905,enemies
445,"(290310, 3279967)",312905,enemies
446,"(290310, 17779)",312905,enemies
447,"(290310, 787766)",312905,enemies
448,"(290310, 31769)",312905,enemies
449,"(290310, 14532)",312905,enemies
450,"(290310, 17771)",312905,enemies
451,"(290310, 5843419)",312905,enemies
452,"(290310, 684077)",312905,enemies
453,"(14653, 3434750)",312905,enemies
454,"(14653, 3279967)",312905,enemies
455,"(14653, 17779)",312905,enemies
456,"(14653, 787766)",312905,enemies
457,"(14653, 31769)",312905,enemies
458,"(14653, 14532)",312905,enemies
459,"(14653, 17771)",312905,enemies
460,"(14653, 5843419)",312905,enemies
461,"(14653, 684077)",312905,enemies
462,"(1285472, 3434750)",312905,enemies
463,"(1285472, 3279967)",312905,enemies
464,"(1285472, 17779)",312905,enemies
465,"(1285472, 787766)",312905,enemies
466,"(1285472, 31769)",312905,enemies
467,"(1285472, 14532)",312905,enemies
468,"(1285472, 17771)",312905,enemies
469,"(1285472, 5843419)",312905,enemies
470,"(1285472, 684077)",312905,enemies
471,"(15462262, 3434750)",312905,enemies
472,"(15462262, 3279967)",312905,enemies
473,"(15462262, 17779)",312905,enemies
474,"(15462262, 787766)",312905,enemies
475,"(15462262, 31769)",312905,enemies
476,"(15462262, 14532)",312905,enemies
477,"(15462262, 17771)",312905,enemies
478,"(15462262, 5843419)",312905,enemies
479,"(15462262, 684077)",312905,enemies
480,"(24324, 3434750)",312905,enemies
481,"(24324, 3279967)",312905,enemies
482,"(24324, 17779)",312905,enemies
483,"(24324, 787766)",312905,enemies
484,"(24324, 31769)",312905,enemies
485,"(24324, 14532)",312905,enemies
486,"(24324, 17771)",312905,enemies
487,"(24324, 5843419)",312905,enemies
488,"(24324, 684077)",312905,enemies
489,"(17771, 3434750)",312905,enemies
490,"(17771, 3279967)",312905,enemies
491,"(17771, 17779)",312905,enemies
492,"(17771, 787766)",312905,enemies
493,"(17771, 31769)",312905,enemies
494,"(17771, 14532)",312905,enemies
495,"(17771, 17771)",312905,enemies
496,"(17771, 5843419)",312905,enemies
497,"(17771, 684077)",312905,enemies
498,"(1266812, 3434750)",312905,enemies
499,"(1266812, 3279967)",312905,enemies
500,"(1266812, 17779)",312905,enemies
501,"(1266812, 787766)",312905,enemies
502,"(1266812, 31769)",312905,enemies
503,"(1266812, 14532)",312905,enemies
504,"(1266812, 17771)",312905,enemies
505,"(1266812, 5843419)",312905,enemies
506,"(1266812, 684077)",312905,enemies
507,"(13919, 3434750)",312905,enemies
508,"(13919, 3279967)",312905,enemies
509,"(13919, 17779)",312905,enemies
510,"(13919, 787766)",312905,enemies
511,"(13919, 31769)",312905,enemies
512,"(13919, 14532)",312905,enemies
513,"(13919, 17771)",312905,enemies
514,"(13919, 5843419)",312905,enemies
515,"(13919, 684077)",312905,enemies
516,"(24324, 3434750)",312905,enemies
517,"(24324, 3279967)",312905,enemies
518,"(24324, 17779)",312905,enemies
519,"(24324, 787766)",312905,enemies
520,"(24324, 31769)",312905,enemies
521,"(24324, 14532)",312905,enemies
522,"(24324, 17771)",312905,enemies
523,"(24324, 5843419)",312905,enemies
524,"(24324, 684077)",312905,enemies
525,"(1517643, 3434750)",312905,enemies
526,"(1517643, 3279967)",312905,enemies
527,"(1517643, 17779)",312905,enemies
528,"(1517643, 787766)",312905,enemies
529,"(1517643, 31769)",312905,enemies
530,"(1517643, 14532)",312905,enemies
531,"(1517643, 17771)",312905,enemies
532,"(1517643, 5843419)",312905,enemies
533,"(1517643, 684077)",312905,enemies
534,"(1780228, 3434750)",312905,enemies
535,"(1780228, 3279967)",312905,enemies
536,"(1780228, 17779)",312905,enemies
537,"(1780228, 787766)",312905,enemies
538,"(1780228, 31769)",312905,enemies
539,"(1780228, 14532)",312905,enemies
540,"(1780228, 17771)",312905,enemies
541,"(1780228, 5843419)",312905,enemies
542,"(1780228, 684077)",312905,enemies
543,"(39039263, 3434750)",312905,enemies
544,"(39039263, 3279967)",312905,enemies
545,"(39039263, 17779)",312905,enemies
546,"(39039263, 787766)",312905,enemies
547,"(39039263, 31769)",312905,enemies
548,"(39039263, 14532)",312905,enemies
549,"(39039263, 17771)",312905,enemies
550,"(39039263, 5843419)",312905,enemies
551,"(39039263, 684077)",312905,enemies
552,"(7515849, 3434750)",312905,enemies
553,"(7515849, 3279967)",312905,enemies
554,"(7515849, 17779)",312905,enemies
555,"(7515849, 787766)",312905,enemies
556,"(7515849, 31769)",312905,enemies
557,"(7515849, 14532)",312905,enemies
558,"(7515849, 17771)",312905,enemies
559,"(7515849, 5843419)",312905,enemies
560,"(7515849, 684077)",312905,enemies
561,"(9282173, 2906001)",312905,allies
562,"(9282173, 30488708)",312905,allies
563,"(9282173, 1224174)",312905,allies
564,"(9282173, 3462886)",312905,allies
565,"(2906001, 30488708)",312905,allies
566,"(2906001, 1224174)",312905,allies
567,"(2906001, 3462886)",312905,allies
568,"(30488708, 1224174)",312905,allies
569,"(30488708, 3462886)",312905,allies
570,"(1224174, 3462886)",312905,allies
571,"(6111879, 290310)",312905,allies
572,"(6111879, 14653)",312905,allies
573,"(6111879, 1285472)",312905,allies
574,"(6111879, 15462262)",312905,allies
575,"(6111879, 24324)",312905,allies
576,"(6111879, 17771)",312905,allies
577,"(6111879, 1266812)",312905,allies
578,"(6111879, 13919)",312905,allies
579,"(6111879, 24324)",312905,allies
580,"(290310, 14653)",312905,allies
581,"(290310, 1285472)",312905,allies
582,"(290310, 15462262)",312905,allies
583,"(290310, 24324)",312905,allies
584,"(290310, 17771)",312905,allies
585,"(290310, 1266812)",312905,allies
586,"(290310, 13919)",312905,allies
587,"(290310, 24324)",312905,allies
588,"(14653, 1285472)",312905,allies
589,"(14653, 15462262)",312905,allies
590,"(14653, 24324)",312905,allies
591,"(14653, 17771)",312905,allies
592,"(14653, 1266812)",312905,allies
593,"(14653, 13919)",312905,allies
594,"(14653, 24324)",312905,allies
595,"(1285472, 15462262)",312905,allies
596,"(1285472, 24324)",312905,allies
597,"(1285472, 17771)",312905,allies
598,"(1285472, 1266812)",312905,allies
599,"(1285472, 13919)",312905,allies
600,"(1285472, 24324)",312905,allies
601,"(15462262, 24324)",312905,allies
602,"(15462262, 17771)",312905,allies
603,"(15462262, 1266812)",312905,allies
604,"(15462262, 13919)",312905,allies
605,"(15462262, 24324)",312905,allies
606,"(24324, 17771)",312905,allies
607,"(24324, 1266812)",312905,allies
608,"(24324, 13919)",312905,allies
609,"(24324, 24324)",312905,allies
