entity_id,entity_name,url,num_conflicts,iso,language,ideology,religion
4689264,Australia,https://en.wikipedia.org/wiki/Australia,32,AU,"['National language', 'Australian English', 'English', 'de jure']",[],[]
3434750,United States,https://en.wikipedia.org/wiki/United_States,301,US,"['Carolinian language', 'French language', 'Chamorro language', 'French', 'federal level', 'official language', 'Hawaii', 'Algonquian languages', 'New Mexico', 'Samoan language', 'Official language of the United States', 'Hawaiian', 'Spanish language', 'Cherokee language', 'Cherokee', 'Alaska Native languages', 'Alaska', 'Carolinian', 'Sioux language', 'Maine', 'Sioux', 'Samoan', 'Federal government of the United States', 'Louisiana', 'Hawaiian language', 'Algonquian', 'Spanish', 'Chamorro', '20 Indigenous languages', 'National language', 'English language', 'English']",[],['Religion in the United States']
5042916,Canada,https://en.wikipedia.org/wiki/Canada,42,CA,"['French', 'Canadian English', 'English', 'Canadian French']",[],[]
76972,Denmark,https://en.wikipedia.org/wiki/Denmark,24,DK,"['Danish language', 'Danish']",[],"['Church of the Faroe Islands', 'Other', 'Christian', 'Christians', 'Church of Denmark', 'Islam', 'Irreligion', 'Greenland', 'Islam in Denmark', 'Church of Greenland', 'Religion in Denmark', 'No religion', 'Christianity']"
11867,Germany,https://en.wikipedia.org/wiki/Germany,20,EU,"['European Charter for Regional or Minority Languages', 'German language', 'Danish language', 'Frisian', 'Romany', 'Danish', 'Sorbian', 'Romani language', 'German', 'Low German', 'Sorbian languages', 'Frisian languages']",[],[]
21241,Norway,https://en.wikipedia.org/wiki/Norway,10,NO,"['Kven', 'Bokm', 'Norwegian language', 'Southern S', 'Northern S', 'Norwegian', 'Sámi', 'Scandoromani language', 'Romanes', 'Romani language', 'Northern', 'Kven language', 'Nynorsk', 'Romani', 'Lule S', 'Lule', 'Southern', 'Writing system', 'Latin', 'Latin alphabet']",[],"['Constitution of Norway', 'constitutional amendment', 'Other', 'Christian', 'Church of Norway', 'Islam', 'List of Christian denominations', 'Irreligion', 'Islam in Norway', 'Religion in Norway', 'No religion', 'Christianity']"
21148,Netherlands,https://en.wikipedia.org/wiki/Netherlands,22,NL,"['Dutch language', 'Dutch', 'Sint Eustatius', 'Bonaire', 'Saba', 'Friesland', 'English', 'Papiamento', 'Frisian language', 'West Frisian', 'English in the Netherlands', 'European Charter for Regional or Minority Languages', 'Limburgish', 'Sinte Romani', 'Limburgish language', 'Dutch Low Saxon', 'Yiddish']",[],"['Irreligion', 'No religion']"
4913064,New Zealand,https://en.wikipedia.org/wiki/New_Zealand,2,NZ,"['New Zealand English', 'English']",[],"['Religion in New Zealand', 'Other', 'Buddhism', 'Islam', 'Irreligion', 'Hinduism', 'No religion', 'Christianity']"
737,Afghanistan,https://en.wikipedia.org/wiki/Afghanistan,167,AF,"['Official language', 'Dari Persian', 'Pashto language', 'Dari language', 'Pashto']",[],"['Islam in Afghanistan', 'State religion', 'Islam', 'official']"
11125639,Turkey,https://en.wikipedia.org/wiki/Turkey,79,TR,"['Turkish language', 'Turkish', 'Spoken language', 'Ethnologue', 'Turkish language', 'Turkish']",[],[]
291717,Islamic State of Afghanistan,https://en.wikipedia.org/wiki/Islamic_State_of_Afghanistan,2,[],[],[],['Islam']
