entity_id,entity_attributes
1441792,{'name': 'Badr Organization'}
37822472,{'name': 'Free Iraqi Army'}
12,{'name': 'Anarchism'}
17416221,{'name': 'South Africa'}
42737696,{'name': 'Green Battalion'}
27754535,{'name': 'Sinjar Resistance Units'}
19054645,{'name': 'Government of Niger'}
4055099,{'name': 'Aden-Abyan Islamic Army'}
16293969,{'name': 'National Socialist Council of Nagaland'}
426077,{'name': 'Carnegie Endowment for International Peace'}
966760,{'name': 'Pastoralism'}
2039914,{'name': 'United Wa State Army'}
1646705,{'name': 'Kurmanbek Bakiyev'}
147575,{'name': 'Ireland'}
65656,{'name': 'The Gambia'}
745595,{'name': 'Israel Police'}
1646730,{'name': 'Jund al-Sham'}
1335473,{'name': 'National Democratic Front of Boroland'}
622772,{'name': 'Chechens'}
52379828,{'name': 'Adama Barrow'}
16998586,{'name': 'Sabaot Land Defence Force'}
30884032,"{'name': ""Sudan People's Liberation Movement-North""}"
30875850,{'name': 'Al-Qaeda in the Islamic Maghreb'}
31006928,{'name': 'Warfalla'}
6373594,{'name': 'Daily Star'}
58786028,{'name': 'Rouse the Believers Operations Room'}
16642,{'name': 'Kazakhstan'}
17957135,{'name': 'Egyptian National Police'}
16660,{'name': 'Kenya Defence Forces'}
319778,{'name': 'Free Aceh Movement'}
1401135,{'name': '055 Brigade'}
2892082,{'name': 'Basij'}
3293496,{'name': 'Sea Tigers'}
20259145,{'name': 'Peninsula Shield Force'}
24918,"{'name': ""People's Liberation Army Navy""}"
7848288,{'name': 'State of Bahrain'}
7651680,{'name': 'Salwa Judum'}
358,{'name': 'Algeria'}
26091881,{'name': 'Southern Movement'}
50274669,{'name': 'Union for Central African Renewal'}
34046319,{'name': 'Vietnam Border Guard'}
55738736,{'name': 'Harakat al-Qiyam'}
2163060,{'name': 'Jamiat-e Islami'}
12968316,{'name': 'Al-Shabab'}
35021184,{'name': 'Libyan Armed Forces'}
57744,{'name': 'Ivory Coast'}
40067475,{'name': 'Democratic Front for the Liberation of Palestine'}
2105749,{'name': 'Romanian Land Forces'}
197015,{'name': 'Drug cartel'}
38912437,{'name': 'Popular Front for Recovery'}
8632,{'name': 'Druze'}
33220,{'name': 'Western Sahara'}
311752,{'name': 'Shin Bet'}
23118283,{'name': 'National Army for the Liberation of Uganda'}
32350676,{'name': 'South Sudan'}
19522007,{'name': 'Bangladesh Police'}
10813917,{'name': 'Baloch Students Organization'}
56779254,{'name': 'Hadhramaut Tribal Alliance'}
31212024,{'name': 'Free Libyan Air Force'}
38789631,{'name': 'Patriotic Convention for Saving the Country'}
25960962,{'name': 'Kurdistan Communities Union'}
1253897,{'name': 'Banyamulenge'}
1262096,"{'name': ""New People's Army""}"
44352016,{'name': 'Regiment of Presidential Security'}
13599262,{'name': 'Media Luna'}
43811375,{'name': 'National Democratic Alliance Army'}
4317752,{'name': 'Central Security Forces'}
3482169,{'name': 'Economic Community of Central African States'}
44556870,{'name': 'Jabhat Ansar al-Islam'}
2671190,{'name': 'National Council for the Defense of Democracy'}
377433,{'name': 'Pakistan Air Force'}
39584363,{'name': 'Liwa Abu al-Fadhal al-Abbas'}
39248501,{'name': 'Arab Movement of Azawad'}
9282173,{'name': 'Israel'}
52552320,{'name': 'Lebanese Resistance Brigades'}
6111879,{'name': 'Lebanese National Resistance Front'}
5571214,{'name': 'Election commission'}
3252889,{'name': 'Caucasian Front'}
2597550,{'name': 'Abyan Governorate'}
701,{'name': 'Angola'}
709,{'name': 'Angolan Armed Forces'}
9347800,{'name': 'United States Africa Command'}
737,{'name': 'Afghanistan'}
541409,{'name': 'Free Papua Movement'}
746,{'name': 'Azerbaijan'}
39240428,{'name': 'Idlib Governorate clashes'}
42984179,{'name': 'PASKAL'}
13787895,{'name': 'Patriotic Resistance Front of Ituri'}
52781816,{'name': 'Galilee Forces'}
33653498,{'name': 'Ansar al-Sharia'}
45417217,{'name': 'Myanmar National Democratic Alliance Army'}
35021571,{'name': 'Libyan Army'}
11232022,{'name': 'Jihad and Reform Front'}
12395287,{'name': 'Communist Party of Turkey'}
42853150,{'name': 'Libya Shield Force'}
492331,{'name': 'Arab citizens of Israel'}
25391,{'name': 'Russia'}
2081585,{'name': 'Rally of Democratic Forces'}
3285814,{'name': '1920 Revolution Brigades'}
43877175,{'name': 'Euphrates Region'}
951098,{'name': 'National Security Guard'}
3949386,{'name': 'Kurdistan Region'}
63767373,{'name': 'Komala of the Toilers of Kurdistan'}
34890586,{'name': 'Public Security Forces'}
58671972,{'name': 'Popular Front for the Liberation of Libya'}
25445,{'name': 'Romania'}
1500005,{'name': 'Ministry of Defence'}
1188714,{'name': 'Ivorian Popular Front'}
58236,{'name': 'United States Department of Homeland Security'}
45220740,{'name': 'Syrian Kurdistan'}
11125639,{'name': 'Turkey'}
377735,{'name': 'Syrian Air Force'}
1966992,{'name': 'Rivers State'}
23626646,"{'name': ""Kata'ib Hezbollah""}"
37086105,{'name': 'Suqour al-Sham Brigades'}
25502,{'name': 'Armed Forces of the Republic of the Congo'}
66463,{'name': 'Politics of Afghanistan'}
33702,{'name': 'Wolf'}
53380035,{'name': 'Ansar ul Islam'}
45671374,{'name': 'Popular Mobilization Forces'}
3294160,{'name': 'Gulf Cartel'}
58325,{'name': 'Vigilantism'}
60425185,{'name': 'Raia Mutomboki'}
28222445,{'name': 'Estonia'}
58704893,{'name': 'Petroleum Facilities Guard'}
36545542,{'name': 'Tolib Ayombekov'}
13698067,{'name': 'Supreme Command for Jihad and Liberation'}
37569569,{'name': 'Lashkar-e-Balochistan'}
64185388,{'name': 'Ivorian Republican Guard'}
25645,{'name': 'Rwanda'}
26215470,"{'name': ""Ba'athist Iraq""}"
